,Sentence
184,ஜாமா 00669012008 00226 00243 00664ந்த 0131 00666ய008 00670ய008 00671 00672ந்த ஜாமா போலீஸ் 00002 00122 சதானந்த் சிங் 00658 00110த்த0080144 00338ந்தத்0154 00384 போலீஸ் 00673 பி.கே.பாண்டே 00178021029 .
185,00452 00674ய000ச் 00474ந்த கான்ஸ்டபிள் ரவிசங்கர் 00085்ட 00675 0131 00666ய008 00668ந்தனர் .
186,00676 ராஞ்சிய008 0037 00520 போலீஸ் 00122012 00677வு001 00678ந்து 00318ன்று 00345 00165ி017034 .
187,விநாயகர் 00679 00680 00681ம் 00054ு001 அதிமுக 00061 ஜெயலலிதா 00472 001780210040 .
188,"ரம்ஜான000 00682 00683 00222ய்0154 , பாகிஸ்தான் 00015்ட000ச் 00474ந்த 85 00684012 00378 00031யப்படுவத்0154 00182 00226 00190021006 ."
189,00182வ008 00302 00105012008 00376க்கப்00880115 00574012008 00685012 00377012 00686 .
190,குஜராத் 00105012008 00376க்கப்00880085 58 00377012000 00378 00031ய 00502 9ம் 00360 00513 00687க்கப்008800180154 00028 00496 00688 00013்0220115 00234008 00178க்கப்00880080 .
191,"00574கள்0107 , பஞ்சாப் 0049 ஜம்மு-காஷ்மீர் 00105012008 0037 00196 7 005450138 , ராஜஸ்தான் 00105ய008 0037 004350138 , தில்லி 00105ய008 0037 2 005450138 00381க்கப் 00007035ன034 ."
192,00689 85 00545 00690ய012600830154 00496 00688 001780210080 .
193,"0131 00104 00431 128 00684012 00381க்கப்0090 , அட்டாரி 0067 பாகிஸ்தானு001 00306ப்00880047 ."
194,00297 00025ாக 85 00545 00381க்க012600310043 0131 00104 00689 213 00684012000 00182 00378 000310210080 00185த் 00186்க006 .
195,அல்கொய்தா 00691 00562த்த007 00180 ஒசாமா பின் லேடன000 00160ப்பது 00146வு001 00022 0103 00644்ட007 00339 ஒபாமா 00284ிய்0040 .
196,00692 00693ய008 00198்ற 00427 00229008 00574 00694 00178021029 .
197,""" பின் லேடன் 00695011 00696 00060ம் 0070 00697லப்பட 00060ம் ."
198,00146வ007 00169001 00512 00022 0016 00698 00352012 00241ந்து 00198ம் .
199,00512ற்காக 00015்ட007 0099 00143 001220120138 002710120138 00699்0138 007000138 00701்டு 00018035ன034 .
200,அல்கொய்தா 00562 00142த்து001 00702 0104 00526 0065601270160 00010ள006 01050138 ஒபாமா 00284ிய்0040 .
201,00028 00703 00704 00214 கபில் சிபல் 00705ய008 00116 00706 00707வத000 00114ி044 00708க் 00149 00019 0120 00706 00707 00060ம் 0103 காங்கிரஸ் 00565ய007 00709 00180 திக்விஜய் சிங் 00020 001780210040 .
202,"00710ய008 00711ப் 00479012 , 00712்டு 00713012 0049 00714012 , 00035 00715த் 00716 00163012 001570025 00607க்கப்படுவத்0154 00312 00214 கபில் சிபல் 00284ிய் 00126019029 ."
203,"014500112ய008 , 00717ய007 00709 001800138 00028ப் 00718த்த007 00278 0000801380155 திக்விஜய் சிங் , 00708க் 00149 0120 00706 0070701260032 0103 கபில் சிபலு001 00719ிய் 00126ப்பது 00720000 00528ிய்0080 ."
204,"இவர் 00466 , 00496 00214 சிதம்பரத்த007 மாவோயிஸ்ட் 00721க் 003090120025 003710210006 0065 00185த் 00186்க006 ."
205,குஜராத் 00722த் 00723008 00724யான 00110ங்012008 பாஜக 00725 00059்றுள்ள006 .
206,"ஆமதாபாத் , ராஜ்கோட் , சூரத் , வதேதரா , ஜாம்நகர் , பாவ்நகர் 00033ிய 6 00023ங்012008 00689 00010ள 555 00722 00110ங்012008 444-ல் பாஜக 00725 00059்றுள்ள006 ."
207,சோராபுதீன் 00726 என்கவுன்ட்டர் 00538008 00496 002140154 00126ந்த அமித் ஷா சிபிஐ 00418ால் 00392 00031யப்பட்ட 00220 00723 00727த்த008 00022 00110த்த000ப் 00059்ற் 00126019006 .
208,"00063 00226 00728ங்012008 00228ிய 00008 நரேந்திர மோடி , "" காங்கிரஸ் - சிபிஐ 00729 00070007 00083ய000 00054 00730006 00041்ட017034 "" 0103 00185022029 ."
209,"குஜராத் 00722த் 00723008 , 80 00731த்து0010138 00732 00733012008 45 00410 00545 தங்கள் 00734012000 00735 00736ந்த017034 ."
210,"தில்லி காமன்வெல்த் 00270ய008 , 10 மீட்டர் 00737ச் 00738தல் 005000120010155 00739 00740008 ஹீனா சித்து - அன்னு ராஜ் ஜேடி 00741ப் 00742 00743017்ற006 ."
211,"00676 , 00182 00743ன்ற 00741ப் 00742ங்012007 00108 310154 005200190080 ."
212,"00744ய008 , சம்ரேஷ் ஜங் - சந்திரசேகர் குமார் செளத்ரி 00745 25 மீட்டர் 00737ச் 00738தல008 00254ப் 00742 00743017்ற017034 ."
213,"00746 , 005000120010155 50 மீட்டர் 00747008 தேஜஸ்வினி சாவந்த் 00254ப் 00742 00743ன்ற்0040 ."
214,00748ம் 00749 00105ய008 00750டை006 0015302100070138 00031யாத 00423த்து0010154 00752 00164ட்க 00133013 0103 இலங்கை 00584த்த007 00278 00753 சரத் பொன்சேகா 00284ிய்00830154 00305012 00155ிய் 00010ளன .
215,00570ின்போது 00754ய 00074ந்த 00378ப் 00588012007 00180012 00738்டுக் 00697லப்0082 00011ான 00345 கொழும்பு 00542த்த008 00198்று 00018014006 .
216,"00512008 , 005460154 00074ந்த 0125 , பொன்சேகா 00755 00305000 00284ியத்0154 இலங்கைத் தமிழ் 00756ங்012008 00643 00155ிய்0080 ."
217,""" நீங்கள் யாரும் 00398028த018 ."
218,00757 00060028ம் .
219,நான் 00423 00758 0114 00005ய008 00759த்த்0107 00010ள013 .
220,"00304 , நீங்கள்0138 00759ாக 00126ங்கள் ."
221,00287001 00760 00106 00276த்த0050138 0070 00748ம் 00749 00105ய0080144 00750டை006 00153த்த0050138 00031யாத 00423த்து0010154 யார் 01230138 00752 00164ட்க 00133013 .
222,""" 0103 00542த்த008 00283ிய்0085 தன006 00761012 0100 பொன்சேகா 00284ியத்0154 0116 00756ச் 00643ய008 00178க்கப்00880080 ."
223,தில்லி காமன்வெல்த் 00270ய007 00517 00323வ000 00762ப்பத்0154 00378ச் 00763கள் 00565த் 00180 திருமாவளவன் 00621ி0210040 .
224,00063 00574 00226 00013்0220115 00014ய008 00284ிய்00180109 : .
225,தில்லி காமென்வெல்த் 00638ப் 00270 00517 00323வ008 00452 007640154 ராஜபட்சவ000 00028 00029 00586021 00126ப்பத்0154 00155ிய்0115 00305 00526 00765யைய்0138 00766யைய்0138 00288014006 .
226,ஈழத் தமிழர்012000 00767 0087 00731க் 00768008 00697ன்றுகு 00769 ராஜபட்சவ000 தில்லி001 00586006ச் 00770க்க 00175ம் 00028 00029007 00557ய் 00771 00772 10 007730010138 00774 00775த் 00808த்த000யும் 00776வத்0154 000270190080 .
227,00777 00778 00779த்த008 00780 00781ம் 00782 00783 00577ந்த 00784ய000 00785 00028 00029 00786ிய்0080 .
228,"ராஜபட்சவ்0138 00787 00029்0138 00570 00788012000 00789ி 00790 0122 00163ய008 00570க் 00423 007910210047 0103 00792த்த007 0120 00611 00010ள 00026 00015012 00793006 00018கிற 00112ய008 , 00028 00029 01106ற்001 00794ாக 00084 00570க் 00795001 00796க் 00797 00798ப்பது 00799 00570க் 00423த்த008 00028 00029007 00800 எத்தகையது 0076 00801வத்0154 00010ள006 ."
229,00028 00029007 0066 00802000 00378ச் 00763012 00565 00803யாகக் 00793014006 .
230,ராஜபட்சவ000 00586க்கும் 00510வ000 00804க் 00805 00060ம் 01050138 00808த்த007 0019 00806014032 .
231,00204 00807 00287கிற 00163ய008 00517 00323வ008 00366ற்பதற்001 002870010138 00569 000740190080 .
232,00042 00028 00029007 00808 00809ப் 00802000க் 00793க்கும் 00005ய008 00810வ000 நான் 00762014013 .
233,00462த்த000ச் 00474ந்த 00204 00807012 0049 00214012 01151ும் 00808 00811ய000 00786ம் 00005ய008 00810வ000ப் 00762க்க 00060ம் 0142 00164ட்டுக்கொள்014013 .
234,00694 திருமாவளவன் தன006 00014ய008 001780210040 .
235,00812 00086த்த008 00813த் 00180 00499ய000 00814 00060ம் 0103 திராவிடர் 00815த் 00180 கி. வீரமணி 00284ிய்0040 .
236,00063 00574 00226 00013்0220115 00014ய008 00284ியிருப்பத்0109 : .
237,"எடியூரப்பா 00029000 00724ய000 00816க்க 00514 00662்ட 00112ய008 , 5 00817 எமெலேக்012 0093 16 எமெலேக்012000 00818 00819 000310210047 ."
238,00565த் 00820 00053 00817 எமெலேக்012000 00369டுத்தாது .
239,"00187 , 00565 00821வ007 00513000 00789ி 11 பாஜக எமெலேக்012 00822த்த 00295 0130 00574கள000 00818 00819 00031ய 00510ய027 ."
240,00823 00824 0097 00084 00734 00116ாக 00059்று எடியூரப்பா 00029 00725 00059்றுவிட்டத்0154 00190த்தது 00053 008090155 00825 .
241,"00826ய008 00198்ற 00827 , 00828 , 00829 , 00413 00015்ட007 00792த்திற்0010160 00830 00831த்த000 00832்கிய 00332 00833 00033ம் ."
242,"00304 , 00804 எடியூரப்பா 00029000 00834ி 00114ி044 00573 00813த் 00180 00499ய000 00814 00060ம் ."
243,00694 கி. வீரமணி தன006 00014ய008 001780210040 .
244,மணலி பெட்ரோ கெமிக்கல்ஸ் 00835த்த007 00836 0092 00837 00838000 00387008 00839க்க 000990210011 00462 00029000க் 00793006 00319 00840 00841008 அதிமுக 0019 00842 00198ம் 0103 00843ய007 00061 ஜெயலலிதா 00621ி0210040 .
245,00063 00574 00226 00013்0220115 00014ய008 00284ியிருப்ப021 00126ப்பத்0109 : .
246,"சென்னை , 00841 00072ய008 00844ம் 00138 00054ு001 00845 00017்0220080 ."
247,"சென்ன000ய000 00846ிய்0115 , 00841 , எண்ணூர் 00072012008 60 00847த்திற்0010138 00732 00138 00054 00135த் 00848000 00395ி 00073040 00018035ன034 ."
248,"தி.மு.க. 00029007 00384ய010 , மணலி பெட்ரோ கெமிக்கல்ஸ் லிமிடெட் 00849ய்0008 00850ப்படும் 00851த் 00852 0092 00853 00324ந்த 00837 00838000 00854 0097 00021ண்டு 00074040 00387008 00324ப்பதற்0250155 00855012 00856ாக 00857040 00018035017 01050138 , 00512ற்காக 0104 00858 00103 00214 கே.பி.பி. 00859 00606க்கப்0090 00041்டத்01270138 00860 00054 00178க்035ன034 ."
249,"00861 00849ய007 00851த் 00852 0092 00838 00387008 00324ந்த005 00388 00862 00416 00553க்க 00007்பட027 01050138 , 00388012 00748ெ006 00863கின்ற 00864 00037ம் 01050138 , 00135 00848 00865ாக 00866்டு , 00377012ின் 00558 00553க்க 00007்பட027 01050138 00860 00054 00178க்035ன034 ."
250,"00138 00809ச் 00825ு001த் 00384 00399கும் 00214 கே.பி.பி. 00867001ம் , 00512000த் 00868006 00869 00222 00006க்காத 00008 கருணாநிதி001ம் 00414த்த000த் 00178006க் 00021014013 ."
251,"மணலி பெட்ரோ கெமிக்கல்ஸ் 00835த்த007 00851த் 00852 0092 கழிவுநீரை 00387008 00839க்க 000990210011 தி.மு.க. 00029000க் 007930210138 , 00804 00512000 00868006 00869 00870ிய்0138 , திருவள்ளூர் 00443 , 00841 00023 அதிமுக 0019 , 14.10.2010 00871க் 00872 00314 10 00244 00092008 , 00841 00491 00192 0054 அதிமுக 00873 00277த் 00180 பழ. கருப்பையா 00197ய008 00874 00842 00198ம் ."
252,00694 ஜெயலலிதா தன006 00014ய008 001780210040 .
253,ஆப்கானிஸ்தான008 00875012ின் 00825012005 00457 10 00545 00338ந்த017034 .
254,"பக்டிகா 00876த்த008 00010ள ஜானி 00877 00443த்த008 , 00457 00660 00031த 00878 00892000 00875012 00879ிய 00880 00881020006 ."
255,"00512ில் , 00660 00031021050்012008 6 00545 00338ந்த017034 ."
256,ஜபூல் 00876த்த008 ஷாஜோய் 00443த்த008 00457 00660 00031த ஜீப் 00892 00882த்த008 00883ந்த 00593 0120 00884020006 .
257,"00512ில் , 0116 00671 00592த்தத008 00658 00110த்த0080144 4 00545 00338ந்த017034 ."
258,00885ய008 00883க்கும் 00671012 0049 00886001 00457 00887ம் 00658ங்012 ஆப்கன008 00888 00198்று 00018035017 .
259,"ஆப்கன008 , 2010 00889 0091 00890 00403 0152 00891 00772 12000010138 00732 00457 003380190047 ."
260,2000 00545 006680190047 0103 ஐநா 00014 001780210080 .
261,உக்ரைன் 00015்ட008 00900 00892007 0120 00634 00893ியத008 37 00545 00338ந்த017034 .
262,00226 00314 டிநிபெட்ரோவிஸ்க் 00876த்த008 00010ள மார்ஹனெட்ஸ் 00645008 00658இச்சம்பவம் 00664019006 .
263,00576 ரயில்வே கேட் 00894 00163ய008 00373க் 00283020006 .
264,"00202 , ரயில்வே கேட் 00355வதற்0250154 00648ே 00895்கிக் 00021ண்0220022 ."
265,"00187 , 00634 00018வதற்க்0155 00896 00897ய்0138 00897006க் 00021ண்0220022 ."
266,"00042 , இவற்ற000 00898ள028மல் 00899 00900ச000 00634 00635ய000 00901040 00902ிச் 00318ல 00903ன்ற029 ."
267,"00223 , 00904 00905த்த008 00074ந்த 00634 00900 0120 00906ாக 00893020006 ."
268,"00512008 , 00658 00110த்த0080144 37 00545 00338ந்த017034 ."
269,0131 00907008 12 00545 00668ந்தனர் .
270,00574கள் 00804 00908008 00010ள 00909ய008 00099க்கப் 00007்ட017034 .
271,"00512ில் , 00910007 00112 009110154 00010ள006 ."
272,00305இத்தகவல000 உக்ரைன் 00496 00214 யெவ்ஹெனி கிரேவட்ஸ் 00427012009 00178021029 .
273,0131 00907008 00338ந்021050்012 01151ும் 00583 00354 00892007 00912012 .
274,00008 கருணாநிதி001 00913 00914 00041006 இ-மெயில் 00306ப்0082 00011ாக சென்னை 00915 00028க் 00423ப் 00740 00418 00345 00460ண்டு 00018கின்றனர் .
275,"அதிமுக 00044ச் 00045 ஜெயலலிதா , மதுரைய008 00916 18-ல் 00198ம் 00565 00506்ட008 00324040 00021வத000ய்0089 00574ு001 00209 00084 00403த்த008 10-0010138 00732 00913 00914 00917ங்012 00306ப் 00007022017 ."
276,00063 சிபிஐ 00345001 00662ப்00880080 .
277,"00744ய008 , 00008 கருணாநிதி001 இ-மெயில008 00913 00914 00041க்கப்00880080 ."
278,00063 போலீஸ் 00461ங்012 00284ியத்0109 : .
279,00008 00192த் 00918001 00919 00700 1.30 00244001 00084 இ-மெயில் 00074019006 .
280,"01106008 , அதிமுக 00044ச் 00045 ஜெயலலிதாவ000 00920 00921 00031006 00018014018 ."
281,"00304 , உங்கள000ச் 00922ிய்0115 00923012008 3 00545 00924ி 00010ள032 ."
282,00008007 00440 00925 00318லும் 0125 00671 00153033032 0103 இ-மெயில008 00126ந்தத்0154 போலீஸ் 00461ங்012 00178021017 .
283,0131 00913 00914 இ-மெயில்0025 00028க் 00423ப் 00740 போலீஸ் 00345001 00915 00926 00494 டி.ராஜேந்திரன் 00662்0220040 .
284,ஆப்கானிஸ்தான008 2 இந்தியர்012 00927 3 00545000 00697ன்று 00041்டத்0154 தலிபான் 00875012 00621ி0210047 .
285,ஆப்கானிஸ்தான008 00595 00928 00352012008 00182 00085்ட 00302 00015012007 00912012 00273்டு 00018கின்றனர் .
286,00744ய008 தலிபான் 00875012 குனார் 00876த்த008 00010ள 00146 00001ப் 00333 00929த்த007 01190138 00182 00930த் 00931 00835 00192த்த007 01190138 00932 00933 00165ியத் 0110 00284ப் 00007014006 .
287,"00512ில் 2 இந்தியர்012 00927 3 00545 00338ந்தத்0154 தலிபான் 00691 00562த்த007 00643த் 00934 , பாகிஸ்தான008 0037 00935ம் 00147 00892001 00288த்த 00936ய008 001780210040 ."
288,00430 00512000 ஆப்கானிஸ்தான008 00010ள 00182 00655 005950210080 .
289,இந்தியர்012 யாரும் 00697லப்படவ்0101 0103 00655 00284ிய்0080 .
290,00216 00015012 00300ய007 00169க் 00937008 00182வு001 00807 00938 00145ப்பது 00939ி 00041022006 .
291,00940 19 00104 00941001ப் 0098 00182 00942 00943லாத 00807 00938000ப் 00160க்க 00010ள006 .
292,00512ற்கான 00723 00216 00015012 00300ய008 00198 00010ள006 .
293,00216 00015012 00300ய007 00169க் 00937008 00942 00943லாத 00944 00172ட்0154 00945வதற்001 00946்ட கஜகஸ்தான் 00270ய்0008 00947ிக் 00021ண022006 .
294,00426 00182வ007 00518 009480190080 .
295,"00159 , 00952 , லத்தீன் 00146 00949ங்012001 00198ம் 00723008 00084ே 00084 00015 0045 00946வத005 0039 00015012 00725 00059வது 00939ி 00041022006 ."
296,00950 00951வு001 2 006010120010155 00110 00010ள006 .
297,"0131 00126 00110ங்012001 கனடா , 01406 , போர்ச்சுக்கல் 00033ிய 3 00015012 00946035017 ."
298,00952 00015012008 தென்னாப்பிரிக்காவ007 00110 00939ி 00041022006 .
299,"00426 மூன்று 00953ும் 00150 000150120155 00182 , பிரேஸில் , தென்னாப்பிரிக்கா 00085்ட 00015012 00945 00010ளன ."
300,"00018ம் 00104012008 00169க் 00937008 00182 , சீனா , பிரேசில் , ரஷியா 00085்ட 00015012 0147 00022 00954 0103 00216 00015012 003000010155 00182 00601 ஹர்தீப் சிங் பூரி 00178021029 ."
301,00216 00015012 00300ய007 00169க் 00937008 00945வதற்001 00944 00015012008 மூன்ற008 இரண்டு 00955 00734012000ப் 00059 00060ம் .
302,00956 00182வு001 128 00015012007 00957 00958 .
303,00959யாக 1992-ம் 00104 00169க் 00937008 00182 00945்ற் 00126019006 .
304,"00169க் 00937008 00942 00943லாத 008070154 00010ள ஆஸ்திரியா , ஜப்பான் , மெக்ஸிகோ , துருக்கி , உகாண்டா 00960 00807 00253 00961ய 00010ள006 ."
305,00962 00198ம் 00723008 00182 00085்ட 00015012 00946035017 .
306,00216 00015012 00169க் 00937 00963 00021ண்டு 00074ர01260032 0103 00182 00241ந்து 00870ி 00018014006 .
307,"01406 00725 00059்ற005 ஜி-4 00015012 ( 00182 , பிரேஸில் , ஜப்பான் , 01406 ) 00089ம் 00169க் 00937008 00945்று 00041022017 0114 00329 00145025027 ."
308,00964க்கப்பட்ட 00015012007 00965 00382 00104 00889 1-ம் 00360ய்0008 00240ம் .
309,00209 00502008 நியூயார்க்க008 00198்ற ஜி-4 00015012007 00307 00214012 00506்ட008 00169க் 00937008 00963 00021ண்டு 00018வது0025 00966க்கப்0082 .
310,00223 00963 00021ண்டு 00018வது0025 00515ாக 00201க்க 00060ம் 01050138 00223 00020 00178க்கப்0082 .
311,"00216 00015012 00300ய008 00967ம் 0125 , 00942 0049 00942 0071 00807012007 00108ய000 00408க்க 00060ம் 0103 00028 00307 00214 எஸ்.எம். கிருஷ்ணா 00870007029 ."
312,00512 0042 00968ா025027 .
313,00969 00970த்த 00020000 00971வதற்001 00605ய்0154 00126025027 0103 00574 00187 00284007029 .
314,"00146 00339 பராக் ஒபாமா , 00182வ008 00382 00403 00922ப் 00660 00460ளும் 0125 0131 002200025 00022ாக 00966க்க 00007்பட027 0103 00166014006 ."
315,00142 00972 00973த்த007 00974 ஆர்சிலார் மிட்டல் 00835த் 00180 எல்.என். மிட்டலு001 00129ப்00880080 .
316,"00975வ000ச் 0056 டெக்ஹின்ட் 00835த் 001800138 00142 00972 00973த்த007 00384த் 0018001380155 பாலோ ரோகா , 0131 00974000 00129007029 ."
317,0131 00973த்த007 001800154 00209 00976்0154 மிட்டல் 00126019029 .
318,00972 00835 00019 0049 00848இத்தொழில008 மிட்டல007 00800000ப் 00322ி 00974இவ்விருது 00129ப்0082 .
319,1992-ம் 00104 0131 00974 00528ப்0082 .
320,00431 16 00545 00974இவ்விருத000ப் 00059்ற்0047 .
321,பிரிட்டிஷ் ஸ்டீல் 00835த்த007 00180 சர் ராபர்ட் ஸ்கோலே முதன் 00292008 00974இவ்விருத000ப் 00059்ற029 .
322,தில்லி 00008 ஷீலா தீட்சித்த000 00977 00978ய்0154 00371த்த நியூஸிலாந்து 00015்ட007 டி.வி. 00979 பால் ஹென்றி 00932 00855ய000 00980 00031021029 .
323,"பால் ஹென்றி , 00209 00210 00084 டி.வி. 00981ய008 தில்லி 00008 ஷீலா தீட்சித்த007 00982000 00983யாக 00984021029 ."
324,"00187 , இந்தியர்012000 00985ம் 00986த்த0080138 00574 00228007029 ."
325,பால் ஹென்றிய007 0131 00825ு001 00182வ008 00665 00721 00140019006 .
326,நியூஸிலாந்து 00029009 00182 00307 00688 00721000 00786020006 .
327,ஷீலா தீட்சித்த000 00983 00031த டி.வி. 00979 0120 00221 00222 00006க்க 00060ம் 01050138 00164044க் 00021ண022006 .
328,"00676 பால் ஹென்றிய007 00825ு0010154 நியூஸிலாந்து 00029 , 00182 00029009 00987 00178021006 ."
329,பால் ஹென்றி 0120 00221 00222 003501270138 00572 00288021006 .
330,00744ய008 பால் ஹென்றி தன006 00855ய000 00980 000310210040 .
331,"00063 00574 00284கைய008 , 00287006 00988்0138 , 00020்0138 00989001 00990ய000 00528ம் 0103 நான் 00325க்கவ்0101 ."
332,00530 00991்0027 நான் 00992040 00399017013 .
333,00287006 00993012 யாருடைய 00994த000ய்0138 00995ிய்0007 00996006க் 00021ளும் 0142 00466 00126 00997 00164044க் 00021ண்0220058 00287ற029 .
334,00146வ007 ஹூஸ்டன008 00010ள 00998ந்த ஸ்ரீ கிருஷ்ணர் 00999த்த008 0037 00343 01000012 01001 00399ய் 00010ளன .
335,"00512 , 00146வ008 01002க்கும் 01003்0155 இந்தியர்012 0013 00765ய000 00528ிய்0080 ."
336,01001ிச் 00318ன்ற 01000ய000 01004ி 01005ம் 0142 0116 01006 00364 00643த் 00934 சிராக் பட் 01007 000410210040 .
337,01000ய000 01004ி 00606ப்பவர்012 0120 01008 00222ய்0138 00006க்கப் 00007028006 .
338,ரூ. 2 00731 01009 00288க்க 00007்பட027 0103 00574 00284ிய்0040 .
339,01001ப்பட்ட 01000012 00089ம்0160 01010ய005 00031யப்0082 .
340,00512 01011012001 00166யவ்0101 .
341,01000012 00741த்த005 00031யப்0082 0156 00537006 00574கள் 01001ிச் 00318ன்ற்0047 01050138 சிராக் பட் 00178021029 .
342,ஹூஸ்டன008 00010ள ஸ்ரீ கிருஷ்ணர் 00999 01012 01013019006 .
343,0131 00999த்து001 ஹூஸ்டன008 01002க்கும் 00054 01014 00146 01015 01002க்கும் 00182 00054 00074040 01016 00165035ன034 .
344,00812 01017ய008 00226 00198்ற 00611 00824008 00008 எடியூரப்பா 00029 01018்ற006 .
345,"00689 00010ள 206 00734012008 எடியூரப்பா 00029001 00957்0154 106 007340120138 , 01019 100 007340120138 01020ய037017 ."
346,01021 00198்ற 00611 00824008 01022001 00957்0154 00126ந்த 01023 எமெலே 00435 00226 00029001 00957்0154 00822021029 .
347,00611 00824000த் 00241040 01024 00360 00185028மல் 01025க்கப்0082 .
348,காமன்வெல்த் 01026 பேட்மின்டன் 01027 00270ய008 00182வ007 சாய்னா நேவல் 00741ப் 00742 00743ன்ற029 .
349,00226 00857ந்த 01028ப் 00270ய008 01402வ007 வாங் 01029019029 .
350,"00292 செட்டை 19-21 0114 01030008 01031ந்த சாய்னா , 00382 இரண்டு செட்012000ய்0138 22-20 , 21-13 0114 01032க் 00768008 01033007029 ."
351,01028யில் 2-1 0114 செட் 00768008 சாய்னா 00743ன்று 00741ப் 00742த்த000க் 01033007029 .
352,வாங் 00254ப் 00742 00059்ற029 .
353,சாய்னா 00059்று021 01034ந்த 01035த்த011 0036 00182 00059்ற 00741ப் 00742ங்012007 00108 38-0154 005200190004 .
354,00512ன் 0097 காமன்வெல்த் 01036008 00182 இரண்டாவது 00110த்து001 01037020006 .
355,37 00741ப் 00742ங்012000ப் 00059்ற இங்கிலாந்து மூன்றாவது 00110த்த008 00126014006 .
356,இலங்கை 00339 ராஜபட்ச 00182 00018வதற்001 00721த் 00178006 கோவைய008 00226 00048 00165ிய மதிமுக 00044ச் 00445 வைகோ 00085்ட 01038்று0010138 01039 00392 00031யப் 00007்ட017034 .
357,த008லிய008 00226 00198ம் காமன்வெல்த் 00270 01040 00981ய008 00452 00764 00033க் 00324040 00021வதற்0250154 இலங்கை 00339 ராஜபட்ச 00586க்க 00007்ப022 00126014029 .
358,"00574006 01041001 00721த் 00178006 மதிமுக , 00378ச் 00763012 , இந்து 00054 00565 , பெரியார் திராவிடர் 00815 0106 00565012 00462த்த007 01042 00110ங்012008 00048ங்012000 00165ி 00018035017 ."
359,கோவை தமிழ்நாடு ஹோட்டல் 0094 மதிமுக 00061 வைகோ 00197ய008 00857ந்த 00842த்த008 ராஜபட்சவ007 01043ப் 01044012 01045க்கப் 00007022017 .
360,"00676 , 00048த்த008 00273்ட வைகோ 00085்ட 01038்று0010138 01039000 00418 00392 00031த017034 ."
361,"01046 கோவை காந்திநகர் 00072ய008 பெரியார் திராவிடர் 00815 0049 00378ச் 00763012 00565ய000ச் 00474ந்021050்012 ராஜபட்சவ007 01047 , 01043ப் 01048 , இலங்கை 01049 01050 01045த்த017034 ."
362,00676 00574கள000 00418 00392 00031த017034 .
363,00611 00824 00165வதற்0250154 01051்ட 01017க் 00200த்த000 01052த் 00543 00018ம் 0152 01025க்க 00060ம் 0073 காங்கிரஸ007 00062ய000 00812 01017த் 00180 00730021029 .
364,01053 00031யப்பட்ட 16 எமெலேக்012ின் 01054 0120 01052 01055க்கும் 0152 01017க் 00200த்த000 01025க்க 00060ம் 0156 01022த் 00180 சித்தராமையா 00062 00041021029 .
365,00430 00514 00513ப்0150 01017 00205ப்00880020 01106000 01025க்க 00510ய028006 0156 01017த் 00180 போபய்யா 00178021029 .
366,00295 எடியூரப்பா 00029 0120 00611 00734 01056ம் 01057த் 01058 00050ரப்0090 00823 00824001 00041ப்0082 .
367,பொங்கல் 00680ய000ய்0089 சென்னைய்0008 00550 00443ங்012001ச் 00318லும் 006340120010155 01059டு012 00343 00344ங்0120080144 01060ற்று021 01061019017 .
368,பொங்கல் 00680 00018ம் 00889 15-ம் 00360 00681ப் 00007014006 .
369,00962 00029 01062 00172012 00018035017 .
370,00426 சென்னைய008 01002க்கும் 01063ங்012000ச் 00474ந்021050்012 00889 12-ம் 01064ே 00315 00316012001ச் 00318வதற்0250154 00634012008 01065 00031யக் 01066ந்த017034 .
371,00889 12-ம் 003600010155 90 00172012001 01067 01068 01065 00226 00314 8 00244001 00240020006 .
372,"01065 00240ியத்0138 நெல்லை , பொதிகை , பாண்டியன் , முத்துநகர் , அனந்தபுரி 0106 எக்ஸ்பிரஸ் 00634012007 இரண்டாம் 01069 01070 006050010155 01059டு012 00343 00344ங்012008 01060ற்று021 01061019017 ."
373,00343 00634012008 01071 010690010120010155 01059டு012 00411ந்த 00108ய008 01065 00031யப்பட028மல் 00126019017 .
374,00044 01072 00031ய 00343 00691 00206க்012 00569 00041த்ததன் 00539ாக மணிப்பூர் 00086த்த008 01073 01074 00416 00553க்கப்0082 .
375,1949 00916 15-ல் 00182வ்0107 மணிப்பூர் 00486க்கப் 00007்டதற்001 00721 00178006 01075 00054 01076 00085்ட 00343 00691 00206க்012 0131 00044 01072த்து001 00569 00041021 00126019017 .
376,00426 மணிப்பூர் 00086த்த008 00016 00416 00553க்கப்0082 .
377,00016 00605012 00100லாதத005 00029 00192ங்0120080138 01041 0010 00126ந்தத்0154 00128 00461ங்012 00178021017 .
378,"00187 01077 0049 01078 00443ங்012008 01079012 , 01080 00835ங்012 00355ப்00880057 ."
379,00430 00044 01072த்த000ய்0089 00886ச் 00658ங்012 எதுவும் 00664ந்தத்0154 00305 00100லை .
380,மணிப்பூர் 00182வ்0107 00486க்கப் 00007்டதற்001 00721 00178006 00209 20 001040120154 00916 15-ம் 00360 00044 01072த்து001 00691 00206க்012 00569 00041006 00018035017 .
381,01081 01082த்த011 00303 00060ம் 0103 01083012 0049 01084012001 00008 கருணாநிதி 01007 00041021029 .
